escritorio,cultura,area_ha,producao_t
PLANALTINA,Pimentão,2.1,2.39
PLANALTINA,Repolho,1.68,3.74
PLANALTINA,Tangerina,10.55,8.73
PLANALTINA,Tomate,3.49,16.83
PLANALTINA,Uva,15.24,11.13
RIO PRETO,Abacate,19.58,48.31
RIO PRETO,Abóbora,14.5,2.9
RIO PRETO,Banana,4.57,10.08
RIO PRETO,Beterraba,11.59,7.61
RIO PRETO,Cenoura,5.53,4.78
RIO PRETO,Graviola,1.58,0.05
RIO PRETO,Limão,4.25,13.69
RIO PRETO,Mandioca,2.89,9.62
RIO PRETO,Manga,0.54,0.32
RIO PRETO,Maracujá,3.13,3.15
RIO PRETO,Pimentão,7.0,11.55
RIO PRETO,Pitaia,1.41,0.16
RIO PRETO,Repolho,1.75,4.59
RIO PRETO,Tangerina,11.5,24.13
RIO PRETO,Tomate,3.48,18.51
SOBRADINHO,Abacate,5.78,11.67
SOBRADINHO,Alface,11.79,12.59
SOBRADINHO,Banana,27.36,43.04
SOBRADINHO,Berinjela,14.33,4.35
SOBRADINHO,Chuchu,2.32,3.22
SOBRADINHO,Couve,9.15,5.88
SOBRADINHO,Limão,7.6,11.29
SOBRADINHO,Mandioca,15.39,14.95
SOBRADINHO,Manga,25.42,10.15
SOBRADINHO,Maracujá,8.8,3.45
SOBRADINHO,Pimentão,5.13,6.43
SOBRADINHO,Repolho,11.8,12.24
SOBRADINHO,Tangerina,7.6,6.44
SOBRADINHO,Tomate,4.5,8.75
SOBRADINHO,Uva,22.17,5.35
SÃO SEBASTIÃO,Abacate,0.1,1.86
SÃO SEBASTIÃO,Abóbora,4.14,0.19
SÃO SEBASTIÃO,Agrião,0.94,0.1
SÃO SEBASTIÃO,Alface,0.46,0.34
SÃO SEBASTIÃO,Banana,1.5,28.78
SÃO SEBASTIÃO,Cebola,66.0,95.49
SÃO SEBASTIÃO,Couve,0.59,0.22
SÃO SEBASTIÃO,Limão,1.05,11.77
SÃO SEBASTIÃO,Mandioca,2.6,1.98
SÃO SEBASTIÃO,Manga,5.63,20.2
SÃO SEBASTIÃO,Maracujá,8.45,28.31
SÃO SEBASTIÃO,Morango,2.41,0.46
SÃO SEBASTIÃO,Pitaia,0.37,0.31
SÃO SEBASTIÃO,Quiabo,1.16,0.09
SÃO SEBASTIÃO,Repolho,0.1,0.09
SÃO SEBASTIÃO,Tangerina,0.27,1.36
SÃO SEBASTIÃO,Tomate,0.17,0.18
TABATINGA,Abacate,7.17,23.9
TABATINGA,Banana,0.17,0.52
TABATINGA,Goiaba,0.12,0.5
TABATINGA,Limão,7.21,32.2
TABATINGA,Manga,0.54,0.5
TABATINGA,Maracujá,13.8,31.11
TABATINGA,Pitaia,1.41,0.17
TABATINGA,Tangerina,8.37,10.63
TABATINGA,Uva,0.48,0.29
TAQUARA,Abacate,1.85,7.54
TAQUARA,Banana,7.91,50.58
TAQUARA,Limão,2.35,10.87
TAQUARA,Manga,1.08,0.76
TAQUARA,Maracujá,5.26,9.54
TAQUARA,Pitaia,1.27,0.27
TAQUARA,Tangerina,5.2,15.53
